param,ours,ours-mono
5,0.092,0.13833333333333334
10,0.4166666666666667,0.9416666666666667
15,1.2033333333333334,2.6193333333333335
20,3.053,8.303666666666667
25,4.424666666666667,13.238666666666665
30,6.982666666666667,22.261
